hand_id,player_0_action,player_0_amount,player_1_action,player_1_amount
texas(571),CALL,0,FOLD,0
texas(572),CALL,0,FOLD,0
texas(573),FOLD,0,FOLD,0
texas(574),FOLD,0,FOLD,0
texas(575),FOLD,0,CALL,0
texas(576),CALL,0,FOLD,0
texas(577),FOLD,0,CALL,0
texas(579),FOLD,0,RAISE,18
texas(58),CALL,0,CALL,0
texas(580),RAISE,98,FOLD,0
texas(581),FOLD,0,RAISE,98
texas(59),CALL,0,FOLD,0
texas(6),CALL,0,CALL,0
texas(60),CALL,0,CALL,0
texas(61),CALL,0,CALL,0
texas(62),CALL,0,CALL,0
texas(63),CALL,0,CALL,0
texas(64),CALL,0,FOLD,0
texas(65),CALL,0,FOLD,0
texas(66),CALL,0,CALL,0
texas(67),CALL,0,CALL,0
texas(68),CALL,0,CALL,0
texas(69),CALL,0,CALL,0
texas(7),CALL,0,CALL,0
texas(70),CALL,0,CALL,0
texas(71),CALL,0,CALL,0
texas(72),CALL,0,CALL,0
texas(73),CALL,0,CALL,0
texas(74),CALL,0,FOLD,0
texas(75),CALL,0,CALL,0
texas(76),FOLD,0,FOLD,0
texas(77),CALL,0,FOLD,0
texas(78),FOLD,0,FOLD,0
texas(79),FOLD,0,CALL,0
texas(8),CALL,0,CALL,0
texas(80),FOLD,0,CALL,0
texas(81),FOLD,0,CALL,0
texas(82),FOLD,0,CALL,0
texas(83),CALL,0,FOLD,0
texas(84),CALL,0,FOLD,0
texas(85),CALL,0,FOLD,0
texas(86),FOLD,0,CALL,0
texas(87),FOLD,0,FOLD,0
texas(88),FOLD,0,CALL,0
texas(89),FOLD,0,FOLD,0
texas(9),CALL,0,CALL,0
texas(90),FOLD,0,FOLD,0
texas(91),FOLD,0,CALL,0
texas(92),FOLD,0,FOLD,0
texas(93),FOLD,0,FOLD,0
texas(94),FOLD,0,CALL,0
texas(95),FOLD,0,CALL,0
texas(96),FOLD,0,FOLD,0
texas(97),FOLD,0,CALL,0
texas(98),FOLD,0,CALL,0
texas(99),FOLD,0,CALL,0
texas,CALL,0,CALL,0
